    N           Naive           Spline-4         Spline-8        Spline-12        Spline-16        Spline-20
   1000         0.1009           0.0051           0.0167           0.0452           0.0986           0.1826
   8000         5.0473           0.0364           0.1277           0.3499           0.7724           1.3946
  27000        54.5603           0.1138           0.4004           1.1082           2.4450           4.5871
  64000        300.5310          0.2672           0.9527           2.6346           5.7981          10.9556
  125000      1129.8543          0.5315           1.8570           5.1063          11.2668          21.1851
  216000      3341.6942          0.9008           3.1988           8.8583          19.5542          36.7206
  343000      8370.6116          1.4222           5.0656          14.0461          30.9174          58.1469
  512000      18548.7352         2.1424           7.6017          21.0169          46.2667          86.9050
  729000          -              3.0576          10.7874          29.8640          65.7913          124.3110
 1000000          -              4.1834          14.7887          40.9077          90.3439          169.8200
  
